uuid,page_Freq,note_freq,hint_count,consistency_score,response_patterns_score,intervals_score,Label
00417170-6bbb-4b15-aa8c-55bced1f40a3,48,0,6,8,0,2,
00d442f3-da9c-48f8-a074-f196a28a3813,23,24,0,19,14,2,
0146fb06-399e-4e1c-a7ee-30af7af4518f,45,0,0,8,5,13,
015e7fac-4cb2-44b4-bae4-a43455f02df2,81,33,4,54,28,8,
01916b76-790c-4150-accc-f43f4f0ab9c4,81,0,0,28,0,-1,
01a6eefd-0394-495d-b66e-0c1d050aa143,18,3,1,3,2,1,
01f1df7c-cda2-455d-8b75-4495edc9a916,26,0,7,53,5,10,
0430f432-cbbd-402f-be12-a902837c55f5,8,0,1,8,0,1,
073daf5e-ebbd-4d46-b45e-23fe549e3f3a,77,0,4,44,2,7,
08d7e84d-c64c-4279-8e14-bf2b006791bd,32,25,0,19,8,2,
0c1811b5-4cd9-416d-84b1-cf69464d9645,19,0,0,28,1,7,
0fa1e206-c0ec-47a9-98b4-da881510a7a5,3,0,0,10,6,5,
1063c2f5-701f-4a61-b086-cbeb384ee8c7,45,0,1,11,1,1,
11368a7d-8278-4419-883c-d569d93cf355,11,23,1,18,13,1,
11a8717e-2fd8-4dbb-b06f-03ce80d36157,38,11,6,34,-1,7,
13a92ab5-2a8d-4173-9d98-2684cc1cc95c,10,0,0,-2,0,2,
1504bbe9-c686-4be6-bdaf-130e39878ce5,310,0,0,194,0,10,
18824257-9d51-4ca5-b71e-cbf1f26471e3,122,0,0,49,6,11,
197462ec-c52b-44d3-b165-46b30dfb344e,80,0,6,-1,0,-1,
19760ac7-17d5-408e-bed3-356d857670e2,18,0,4,8,0,0,
1ce92c93-f738-4027-bda8-c87a627d89b9,7,0,1,11,3,7,
1ec5581a-d408-4457-a8b9-65c7689e7a2c,30,2,8,28,14,10,
1f31a580-f48c-46e8-861b-7a1de9f285ee,48,4,0,20,1,2,
1ff8b527-12f4-4d6c-8920-f0999594a344,13,0,0,7,0,0,
2150de50-793e-4327-a8b0-0136a608e2b3,5,5,0,9,1,1,
21f7c5fd-9c1c-4e41-96bc-55aec31c0429,82,0,1,24,1,1,
21f87654-837a-40a2-869c-9ec2c9b42e22,12,29,0,30,21,1,
26a572ff-f739-42da-aff7-b324a1a39f76,3,0,0,-4,2,-1,
26dfef3c-e787-4ac2-9ad7-eab8f4596a3a,12,23,1,24,0,0,
2763e1ef-7841-4465-a906-c280639ac053,17,0,2,11,5,2,
278f639d-c67c-452d-a9ec-73c4dbfcb866,8,2,2,4,0,0,
29afeddf-92de-4e32-adcc-9a4ef526d197,25,0,6,11,0,0,
29db4ca9-fb0d-4ffe-a555-b63c1f3ec769,71,18,2,12,10,1,
2da24708-d768-4479-9999-38bfc1515e04,128,0,0,20,2,4,
2dd6f89b-eb45-4137-a82c-de4bdf05214d,156,5,4,83,1,2,
2e28730c-631e-456a-b211-1f25cd317383,14,2,0,0,0,0,
2eb30788-603a-4e8a-9123-27dd61ef66aa,5,0,0,15,5,6,
2f03d389-de50-4c5e-ad06-c8523d672af9,137,4,7,73,-1,3,
2fa3ae95-e214-457e-be28-1bfc154e41a9,46,45,5,38,31,2,
31f723e2-580c-443e-9466-9fdd1d146423,46,0,1,38,0,1,
323d2886-39d9-4b29-8a5b-9ab8794fcfa6,28,2,0,-8,0,0,
33c69bd0-3d26-4841-948d-63ff38b261f6,88,0,46,48,0,2,
33d705ee-d47f-4ab3-8a42-c111b75290b1,32,0,0,4,0,2,
3401638a-1852-485d-b487-5c93aacb9009,128,24,4,44,15,0,
355ebe18-728b-4509-a9e8-0dc688a8866f,23,25,10,36,17,10,
363aebb3-a81b-4650-9ab2-d590b05ca37a,263,0,32,185,0,0,
37a2f788-d82e-4713-9a0d-f2308e9334b4,52,0,2,6,7,10,
383b4fd8-caba-46b3-9540-0f455e516eb8,24,8,1,3,5,0,
3946cccf-a947-4248-b6b0-4b408d546f4d,175,21,8,16,6,2,
3b895b7b-740c-40d7-adf8-66452bcf8e73,112,0,4,-24,0,0,
3c5c2695-cf3c-41d2-9435-eab3246cba3c,267,0,18,85,2,14,
3d2f45de-0712-485d-b9ca-7d66fe528779,41,5,0,-2,0,0,
3db03d6e-82b9-48dd-81c3-f45baf8e590d,8,0,2,-4,0,2,
3dbf5cf1-bbd8-4553-b711-6bf1e05de1df,102,0,0,24,0,0,
3e1f090f-9aca-410e-9bac-d4b5f0060220,10,0,1,13,1,4,
3e7d05c9-239c-48ec-a376-fd0c4f800f75,29,0,1,24,4,4,
3eb0766e-f6f3-4f61-81e2-38d46565eda5,50,0,0,25,4,1,
3efcde41-7edf-490f-b144-4edcea2e8ed6,27,33,10,39,13,1,
3fbc610d-8f30-4b36-a7f8-9c551a385170,50,0,0,36,2,4,
4004ec20-f399-4fd9-8406-7aa26ac2aaf5,6,0,1,10,0,3,
4117038c-b5ef-431d-a007-ef104ddadfc7,76,0,0,40,0,2,
42847478-265d-432b-a78b-965cd9ff1464,13,16,10,-3,5,0,
4332adae-2b62-4aaa-98f9-fa260a5db30d,3,0,0,11,6,0,
43b84d53-8b76-43b7-820b-8ee089efa108,8,21,1,16,17,2,
45a8affd-e1f8-4c17-bdcb-feb8f6c1c183,2,33,2,28,14,1,
4656d458-54d3-4e2c-a19c-a81b0a26a222,350,26,12,235,11,1,
47a0030b-4307-421a-961b-e5262eae0231,4,21,1,14,20,4,
49047f40-515b-47c3-834b-f8766f8291ef,14,8,0,5,5,1,
49a12824-7a78-4d23-a266-d7e38e183619,24,1,4,7,2,8,
49c365cb-68ed-4345-b403-1fa9b2232411,15,0,1,22,3,0,
49dedc5d-f3b1-41f7-bf64-3a3f135294b1,5,0,1,10,6,8,
4c5ba6b3-655e-45c9-a310-6b5395586bc5,12,0,0,5,5,-1,
4dd7092a-5e5e-40db-a81b-5b2ab346e921,120,0,1,45,5,0,
4eb85858-82c7-4b36-919a-6cefb77349fc,4,0,1,10,5,3,
4f6a13a0-c443-47e2-b692-a524c6f9faf2,40,22,12,21,18,1,
50003fe1-9041-41ba-b019-eb9b051abc4e,59,0,0,14,3,-1,
508a7fc3-ba01-4784-b349-0c819376dc56,70,23,1,52,7,0,
51446f3a-adf1-4768-94c5-245f2929f384,8,24,0,10,17,0,
522e38d9-5708-44a1-a90d-4674b58d9a54,10,0,1,8,0,1,
5272383a-2687-4c3a-b20c-353c13599454,242,0,0,34,0,2,
54bb83b2-ae63-4872-800e-0454074f25d5,36,5,12,13,0,2,
57397ebb-9e69-4d42-894d-18843ed77698,70,0,0,-9,4,-1,
59908bc1-3e39-4432-8e6b-bf648b7aa20a,117,0,2,59,4,8,
5a52f797-1a25-419e-9373-0c27fe660a2f,10,20,0,18,9,0,
5acb961b-1cfc-40db-ad22-48ac742ae70e,232,0,0,87,2,1,
5d8992ef-5368-46a8-ba63-99f8b72d18b9,7,9,2,3,0,1,
5e5f8434-2264-4f55-9bc5-ab2ac8777d4f,289,0,0,152,0,1,
5ed59c84-d746-40fb-a659-d107249ec7d6,2,0,1,4,2,-1,
5fe06606-9d90-42ce-b2c5-dbc49bc3c6f3,5,0,1,7,7,3,
646b39bf-2000-4269-9b7c-34efabf36eed,12,0,0,13,6,5,
66826bcf-5362-4849-9de1-58396aa18800,57,0,16,8,0,1,
672b8b20-a1f6-421d-8e70-d4f41b38db60,39,0,0,18,4,1,
6785a445-16ef-4db6-98ec-b8d11dedebb8,5,6,0,1,0,2,
690e5bd4-0a19-46df-9cbb-4f4a49a81848,345,0,0,142,7,1,
6945db54-824f-4ab8-a657-827eeada8c85,95,22,1,79,16,-1,
6955e1a9-1617-4d4d-9ccd-dabcbc313004,496,0,0,360,0,4,
69991c8b-c675-40aa-8e69-b48389eba04e,4,24,0,10,15,2,
6cc443ad-39cc-4921-b40f-007713814810,9,0,1,3,0,1,
72c4a552-4e60-4fa5-92ff-baea8cd328b2,295,0,0,191,0,2,
75424909-2144-43c5-b2de-1310109b4f33,149,0,0,44,1,-1,
757ff584-9e2e-4bc3-b4a4-8fdc3437a35f,299,0,16,170,0,1,
7583f990-efeb-483a-af78-b6eaffdb3e1e,123,0,0,44,0,-1,
76e65e41-4e4a-4d40-9bb7-b91df06e91e1,308,0,46,143,2,5,
780e093a-8fc6-4e12-b3ec-cfe425a1cc41,18,0,0,14,6,4,
7a00f3fa-843c-444a-b7b2-0593522324cb,41,0,1,21,0,1,
7b9dc8e2-3ef4-4afa-8ac0-3f63557de0d2,50,0,0,21,6,5,
7bf7e371-529d-4e47-9292-f55a6bb73d9b,75,0,1,43,-1,1,
7e415f24-1e8b-447d-a1b1-9cd9d2216a65,184,0,0,116,2,2,
7ede11ae-01e8-45e9-a068-0879c7e7571c,35,4,0,5,1,0,
7ee80ff6-7150-4f36-9f63-78ef7d009300,29,0,0,11,0,0,
8053b1b3-8d08-4ee3-931f-23a61482c067,11,1,0,3,1,-1,
80a3940f-183e-4141-8965-f9a4278446bf,3,21,1,20,21,5,
80cb8bb9-d53a-4348-9979-66238fe6b64e,1,34,0,17,13,0,
820661bf-c376-47ce-a3a1-072d4beaa3fe,5,0,0,9,5,2,
832ec2e1-2711-4aea-bc79-77cebf3e5690,131,0,5,94,1,4,
8461767b-3e0a-4896-a51b-f6a641fbfac7,48,0,8,33,2,5,
85831be2-47b7-45fa-84dc-fa06e7d4153f,14,0,2,-1,3,-1,
86a5d0ca-38ca-4286-b257-775b4c4830c0,41,2,1,18,-1,2,
88a0c582-8c31-4cac-ba7d-ffeb73f51286,46,0,2,-3,3,1,
895d2436-0a33-4a73-bccc-5f1c9107254c,69,2,3,27,0,-1,
89735507-cfe5-47cb-9200-75f363e4d1a7,6,0,4,2,3,0,
8cd5607c-2ab8-4f7b-a88d-d48c7ccf81ce,3,22,0,31,15,2,
8dee840d-48ab-4437-a674-68b056b94904,1,24,14,19,10,4,
8e5b30da-4445-4bf0-9e09-849023db7461,12,0,0,-4,1,2,
8e77356b-5d53-4c70-b9f3-496a7538f619,9,0,0,13,5,10,
8f1eabd4-0120-4825-bf6d-8838495b1f06,75,0,0,29,1,2,
8fa284ad-b846-45cd-a422-41afba709fe2,9,0,0,3,1,4,
95b553ab-8a7f-459a-bd36-9f4abe76c07a,64,0,6,8,3,2,
968fe8c1-1521-45eb-80ee-3c43b843dccb,30,0,7,6,0,1,
984b46eb-f67b-46a9-8764-92a79bff44b9,42,0,31,22,1,1,
9a2fe5c0-4e27-49cb-b956-3517cf5170b6,15,0,1,10,1,2,
9a872242-b765-4f36-9900-94e7d7c38f0e,26,0,2,6,7,2,
9b462401-9e36-4902-9de0-367219706e84,10,1,0,5,2,6,
9bef506a-5223-41eb-84e4-596c5372f426,150,0,0,77,-1,7,
9c72c8fc-84e1-4cac-a4ef-80dd47e132a5,63,0,0,26,1,1,
9d05b15c-b322-44c9-8a07-18becaa6c407,13,0,4,16,0,1,
9dd121ad-6c1c-4623-9ed2-9c8954c4036b,15,2,2,10,0,-1,
a157ef0e-49d7-47bf-9974-d7e6a95e8c4f,27,29,10,3,25,1,
a2dbf86b-5abb-461c-9132-cd2a1b2e9d7a,24,34,6,23,24,-1,
a336417e-1209-4e39-90e1-ecb58e7149e2,9,0,0,14,7,-1,
a53a924f-1b80-428f-bc0f-4312f9433437,18,0,0,18,0,4,
a646b28a-1f98-48ea-9bfc-15fac266b444,13,21,0,15,9,1,
a6b44073-b026-4d08-9432-8587b05e7c93,4,0,1,10,5,7,
a6f80be5-132f-414f-9101-4d728bbd741b,13,0,1,6,0,2,
a7d61608-3437-498a-8d98-de7fa8a8e163,31,22,1,16,9,2,
aa02d2a1-5a97-4f34-a1be-1698bd019d39,12,0,4,12,3,2,
aa3bb29c-f22e-4ecc-b4cb-fdf3bda6b419,16,2,0,-4,-1,2,
ac284ffb-692e-474b-9f12-5e2a5f216b8b,30,0,1,16,0,1,
ac5e40cb-17bc-4e4d-b2d0-2011f2b5ee84,26,0,0,25,0,9,
acb90251-017f-46a8-8775-17342cbf10b1,4,0,2,3,6,1,
af0c3990-a373-41ef-a075-d5f5adc80d61,20,20,0,15,9,1,
afab1b5b-eae3-4533-98af-d2c87f91e6fa,86,0,0,7,6,-1,
b0df4993-9125-47ac-af81-a8410bdcaaee,30,3,1,16,0,2,
b185623c-f2c0-4fe9-9ceb-48e76e67697c,12,0,1,14,0,-1,
b524cc7f-7fcf-4f7c-b7a5-a71782d08d6b,105,0,2,44,0,9,
b5badcef-d361-4496-8325-4abcdb2a0e44,8,1,0,16,1,11,
b660c2fe-6b08-400a-b47e-9eb2ce2688aa,151,20,2,107,16,8,
b6a22a32-3331-41af-ae2b-a17a543ca57d,48,0,0,31,4,3,
b8e717c8-4414-49a6-88ed-6c0790d93fe3,120,2,20,52,-1,8,
bac0d8d0-a870-498a-a286-93250a460ab0,34,35,0,23,24,0,
bae4efb7-b6a0-42d5-81ac-434e77be476b,128,0,0,59,0,3,
bb47a791-aa0f-4002-80a2-1abb5e7d2aa3,88,0,2,39,4,9,
bb82d399-3457-4793-95cc-928f7752f1ab,8,0,1,1,0,0,
bdbbc907-15d5-443e-92ca-29932df74348,8,6,0,3,1,1,
c3125c0d-7d4c-4bbf-8a73-4b91c48580f8,205,0,0,87,1,4,
c36b667f-18bf-4d92-804e-18781a7d114e,5,0,8,16,0,7,
c3c001c3-c379-4fdd-a437-4440d5f55e33,77,7,10,12,2,2,
c5b7b595-fb30-415a-85db-34bc3e2be523,6,0,0,9,6,1,
c5d3a8a5-c3e7-46ab-a790-51558c59692d,14,0,0,19,6,3,
c814efd9-981b-4661-a97e-f1ecb454978b,10,0,1,8,0,1,
c91c6159-f50b-42aa-bc92-294cdf33adb5,56,0,0,30,0,2,
c98decef-525d-4583-a54b-983bb8dee768,3,23,1,18,16,1,
c9a9ab82-a15f-4d64-93fd-230b4c0264eb,13,14,12,10,2,-1,
c9d0bde0-5ee1-4919-bba5-8be3b1f5f5db,9,0,0,3,0,2,
cb0e6a8c-eb0e-41ce-b7db-4dc13029db62,23,0,0,-4,0,-1,
cb257cfa-c32b-4959-bc06-a71a571b38bd,3,33,1,19,5,2,
cca2b847-311d-49d7-93a3-52a957e477a6,8,0,1,3,0,2,
d11c7667-ca5d-4f1e-8836-62531d98bed7,68,0,15,48,1,-1,
d157012c-ffd1-4a5b-9e85-831b64c943f3,6,0,0,4,7,6,
d1ed227b-3225-4bb9-b121-9e2367a199fa,15,0,1,12,-1,0,
d289a713-ae11-406e-918e-c980950b7e3a,4,0,0,15,3,7,
d2c53608-7d93-4e49-81d3-79c2213fc34d,2,0,1,-4,7,1,
d6a0cc4a-783f-45f5-81c8-26bc4b06c7a7,66,25,34,44,3,-1,
d6b60b0e-8837-402e-8fe0-075665992a35,11,0,0,16,5,5,
d72b1090-81ee-4922-af13-48268c1d11c3,86,4,2,47,-1,11,
d8d3f288-72d9-4044-a831-36c6b06d9d40,4,0,6,5,2,1,
d8ee63d1-573b-46f6-8e31-22cf8b256def,165,0,56,108,1,27,
d9eb123c-5e09-4614-a410-47b484983fd1,7,0,8,6,-1,1,
dae33cec-d14b-4781-9d49-6c8de834b419,8,0,0,-4,6,0,
dd866f80-1c1c-42c5-87cd-f674adc011e9,66,21,38,89,20,8,
ddb6d1ab-9e3c-4421-a06c-948db7b5bff1,30,0,1,25,0,2,
df67920c-a1fe-4a71-92b6-9b4c0a3a586c,41,0,0,6,1,1,
e21bfc42-e42f-4563-a46a-951b6f4308a8,70,0,15,48,0,-1,
e30e825a-54a3-431a-9ddc-14e529aeb27d,3,0,0,11,7,4,
e4ea51e3-d0fa-4c22-ad00-5a0bcc5a8af7,355,0,0,176,8,23,
e73304aa-9ba7-452e-b60b-80bf958a56c3,22,0,0,22,7,4,
e798eb08-501c-4d7b-84b5-943bdb28da90,109,0,2,79,3,0,
e97aeacc-d984-4714-b7c9-c27a5ded0487,2,29,6,20,8,-1,
ea6c1394-b25c-4837-b6ab-e2b4d40bb5a4,160,0,26,64,6,4,
ead60f26-6cd9-45ca-8b45-02e33405a5a0,4,4,0,3,1,-1,
ed2b6bd8-19d7-4e73-aaf7-a0a2f6aa26b7,282,1,1,220,0,2,
edf8bb5e-10d5-4db8-abbb-7bb5cd78c356,176,0,0,96,8,4,
f4a2c314-d1bf-45cf-98ff-fcb93b51983d,349,21,25,186,13,1,
f5781866-3f39-46c8-b85c-5016403daa1b,243,0,0,102,4,5,
f5c10e56-0af6-47fc-b636-abfe1fb2c6fd,36,33,6,32,26,5,
f5dbe015-919b-4639-84f7-95ab1a5b1aac,161,4,6,44,1,3,
f6531137-f918-48f5-8916-ac5b0f2673f7,20,0,2,13,0,1,
f6a29c5d-1736-4f36-8b50-f4b461e84fd4,4,22,20,33,5,1,
f8ff3aea-e82e-4252-b4bd-4d5ee2a4f48b,47,0,0,41,0,0,
f974d41b-fb2f-4758-9d1f-5da7a8ac586b,235,0,26,83,-1,4,
f9c2fcb9-ddd8-42be-a4b8-6b4e503b914e,166,6,0,79,0,3,
fa2c965d-2422-4d73-8ea2-d9f1ba1283b3,22,0,0,15,0,-1,
fb7e2402-0c49-4908-aa3f-f891fbc2ef02,36,0,0,18,0,0,
fdc1031a-6c66-47aa-a6a1-fbaf26062d2b,56,20,14,43,6,1,
fdd3df6b-fa87-4b4a-abd9-7feab896f161,214,6,2,109,0,-1,
link_Benchamatheputhit,49,9,0,15,4,10,0
link_Technical College,49,10,2,23,0,10,0
link_Polytechnicai College,58,4,1,17,1,8,0
link_Nongyaplongwittaya,58,4,1,5,1,12,0
link_Princess Chulabhorn's,58,9,2,19,1,12,0
link_Suwanrungsarit,41,10,1,33,3,10,0
link_Myself,39,8,1,13,4,12,0
link_Benchamatheputhit,51,6,2,19,2,10,0
link_Myself,34,7,1,17,0,10,0
link_Hua Hin Vitthayalai ,33,16,1,7,2,12,0
regcognite_Benchamatheputhit,18,15,0,6,11,-2,1
regcognite_Technical College,14,15,0,26,9,-3,1
regcognite_Polytechnicai College,15,19,1,28,10,-3,1
regcognite_Nongyaplongwittaya,19,18,2,20,14,-3,1
regcognite_Princess Chulabhorn's,14,14,0,22,9,-3,1
regcognite_Suwanrungsarit,8,14,0,18,11,1,1
regcognite_Myself,8,16,0,22,9,-3,1
regcognite_Benchamatheputhit,15,17,2,20,12,1,1
regcognite_Myself,14,15,2,18,10,-3,1
regcognite_Hua Hin Vitthayalai ,15,0,2,19,10,1,1
tool_Benchamatheputhit,7,0,0,8,14,9,2
tool_Technical College,6,2,1,6,12,13,2
tool_Polytechnicai College,5,0,1,0,12,7,2
tool_Nongyaplongwittaya,6,0,2,8,14,13,2
tool_Princess Chulabhorn's,4,2,2,8,14,5,2
tool_Suwanrungsarit,6,0,1,6,12,9,2
tool_Myself,8,0,2,10,12,5,2
tool_Benchamatheputhit,10,0,1,2,12,7,2
tool_Myself,9,2,0,4,13,5,2
tool_Hua Hin Vitthayalai ,11,0,1,8,12,7,2
utilization_Benchamatheputhit,18,0,9,6,12,3,3
utilization_Technical College,22,4,8,14,11,1,3
utilization_Polytechnicai College,23,0,9,6,14,5,3
utilization_Nongyaplongwittaya,23,2,8,10,14,5,3
utilization_Princess Chulabhorn's,19,4,10,8,12,5,3
utilization_Suwanrungsarit,25,2,9,4,11,-1,3
utilization_Myself,24,0,7,6,13,5,3
utilization_Benchamatheputhit,21,0,8,14,11,1,3
utilization_Myself,24,2,7,6,12,3,3
utilization_Hua Hin Vitthayalai ,23,0,8,22,10,5,3
